Region,County,First Dose,Series Complete,Report as of
Western New York,Cattaraugus,44127,40953,11/8/22
Central New York,Cayuga,49987,46693,11/8/22
Western New York,Chautauqua,82068,75545,11/8/22
Southern Tier,Chemung,49584,46593,11/8/22
Southern Tier,Chenango,31486,29650,11/8/22
North Country,Clinton,59412,55821,11/8/22
Capital Region,Columbia,46082,42082,11/8/22
Central New York,Cortland,29846,28143,11/8/22
Southern Tier,Delaware,26709,24774,11/8/22
Mid-Hudson,Dutchess,231396,208563,11/8/22
Western New York,Erie,718083,665606,11/8/22
North Country,Essex,27945,26017,11/8/22
North Country,Franklin,31336,29276,11/8/22
Mohawk Valley,Fulton,30279,28526,11/8/22
Finger Lakes,Genesee,37936,35745,11/8/22
Capital Region,Greene,32424,29515,11/8/22
North Country,Hamilton,3547,3297,11/8/22
Mohawk Valley,Herkimer,37050,34784,11/8/22
North Country,Jefferson,75899,63633,11/8/22
New York City,Kings,2096355,1883835,11/8/22
North Country,Lewis,14516,13830,11/8/22
Finger Lakes,Livingston,40543,38369,11/8/22
Central New York,Madison,54633,51124,11/8/22
Finger Lakes,Monroe,587321,545373,11/8/22
Mohawk Valley,Montgomery,35493,33488,11/8/22
Long Island,Nassau,1252902,1141537,11/8/22
New York City,New York,1629252,1395804,11/8/22
Western New York,Niagara,151100,141972,11/8/22
Mohawk Valley,Oneida,156523,145452,11/8/22
Central New York,Onondaga,369604,339399,11/8/22
Finger Lakes,Ontario,85591,80177,11/8/22
Mid-Hudson,Orange,264998,241222,11/8/22
Finger Lakes,Orleans,24472,23010,11/8/22
Central New York,Oswego,79670,74965,11/8/22
Mohawk Valley,Otsego,40611,37914,11/8/22
Mid-Hudson,Putnam,83261,74765,11/8/22
New York City,Queens,2207195,1983213,11/8/22
Capital Region,Rensselaer,119536,110641,11/8/22
New York City,Richmond,392264,359666,11/8/22
Mid-Hudson,Rockland,233479,210085,11/8/22
Capital Region,Saratoga,188522,175837,11/8/22
Capital Region,Schenectady,136504,126133,11/8/22
Mohawk Valley,Schoharie,19455,18446,11/8/22
Southern Tier,Schuyler,11280,10438,11/8/22
Finger Lakes,Seneca,19685,18431,11/8/22
North Country,St. Lawrence,74386,69370,11/8/22
Southern Tier,Steuben,56271,52859,11/8/22
Long Island,Suffolk,1240415,1128640,11/8/22
Mid-Hudson,Sullivan,51301,46544,11/8/22
Southern Tier,Tioga,25718,24340,11/8/22
Southern Tier,Tompkins,88624,80423,11/8/22
Mid-Hudson,Ulster,148327,135679,11/8/22
Capital Region,Warren,52442,49354,11/8/22
Capital Region,Washington,41915,39766,11/8/22
Finger Lakes,Wayne,65769,61886,11/8/22
Mid-Hudson,Westchester,883881,793520,11/8/22
Finger Lakes,Wyoming,23490,22206,11/8/22
Finger Lakes,Yates,14734,13721,11/8/22
Capital Region,Albany,254664,231654,11/7/22
Western New York,Allegany,23619,22058,11/7/22
New York City,Bronx,1225148,1088192,11/7/22
Southern Tier,Broome,135725,126449,11/7/22
Western New York,Cattaraugus,44127,40953,11/7/22
Central New York,Cayuga,49986,46691,11/7/22
Western New York,Chautauqua,82060,75542,11/7/22
Southern Tier,Chemung,49577,46591,11/7/22
Southern Tier,Chenango,31484,29650,11/7/22
North Country,Clinton,59408,55817,11/7/22
Capital Region,Columbia,46081,42081,11/7/22
Central New York,Cortland,29844,28143,11/7/22
Southern Tier,Delaware,26708,24772,11/7/22
Mid-Hudson,Dutchess,231380,208553,11/7/22
Western New York,Erie,718017,665563,11/7/22
North Country,Essex,27945,26016,11/7/22
North Country,Franklin,31331,29275,11/7/22
Mohawk Valley,Fulton,30277,28524,11/7/22
Finger Lakes,Genesee,37933,35745,11/7/22
Capital Region,Greene,32423,29514,11/7/22
North Country,Hamilton,3547,3297,11/7/22
Mohawk Valley,Herkimer,37046,34783,11/7/22
North Country,Jefferson,75892,63622,11/7/22
New York City,Kings,2096176,1883710,11/7/22
North Country,Lewis,14514,13830,11/7/22
Finger Lakes,Livingston,40542,38366,11/7/22
Central New York,Madison,54631,51122,11/7/22
Finger Lakes,Monroe,587281,545349,11/7/22
Mohawk Valley,Montgomery,35492,33487,11/7/22
Long Island,Nassau,1252852,1141498,11/7/22
New York City,New York,1629103,1395713,11/7/22
