Report Date,County,Place of Fatality,Deaths by County of Residence
11/1/22,Westchester,3141,2857
11/1/22,Wyoming,72,90
11/1/22,Yates,26,40
10/31/22,Albany,1017,569
10/31/22,Allegany,95,163
10/31/22,Bronx,4924,5516
10/31/22,Broome,665,564
10/31/22,Cattaraugus,246,240
10/31/22,Cayuga,128,168
10/31/22,Chautauqua,312,323
10/31/22,Chemung,319,249
10/31/22,Chenango,76,128
10/31/22,Clinton,152,110
10/31/22,Columbia,171,159
10/31/22,Cortland,109,129
10/31/22,Delaware,28,86
10/31/22,Dutchess,755,707
10/31/22,Erie,3132,2792
10/31/22,Essex,40,70
10/31/22,Franklin,33,51
10/31/22,Fulton,107,180
10/31/22,Genesee,173,203
10/31/22,Greene,35,139
10/31/22,Hamilton,0,5
10/31/22,Herkimer,72,208
10/31/22,Jefferson,126,146
10/31/22,Kings,8381,9254
10/31/22,Lewis,21,53
10/31/22,Livingston,88,129
10/31/22,Madison,127,140
10/31/22,Manhattan,6332,3853
10/31/22,Monroe,2055,1742
10/31/22,Montgomery,198,223
10/31/22,Nassau,4990,4076
10/31/22,Niagara,401,617
10/31/22,Non-NYS,0,524
10/31/22,Oneida,876,846
10/31/22,Onondaga,1405,1145
10/31/22,Ontario,257,201
10/31/22,Orange,1108,1006
10/31/22,Orleans,58,123
10/31/22,Oswego,124,214
10/31/22,Otsego,157,98
10/31/22,Putnam,116,136
10/31/22,Queens,6986,8618
10/31/22,Rensselaer,245,294
10/31/22,Richmond,1465,1495
10/31/22,Rockland,904,938
10/31/22,Saratoga,273,380
10/31/22,Schenectady,320,340
10/31/22,Schoharie,16,40
10/31/22,Schuyler,8,30
10/31/22,Seneca,38,94
10/31/22,St. Lawrence,191,210
10/31/22,Statewide Total,58827,58827
10/31/22,Steuben,209,262
10/31/22,Suffolk,4667,4669
10/31/22,Sullivan,103,142
10/31/22,Tioga,42,89
10/31/22,Tompkins,105,96
10/31/22,Ulster,215,393
10/31/22,Warren,241,141
10/31/22,Washington,42,128
10/31/22,Wayne,112,199
10/31/22,Westchester,3139,2855
10/31/22,Wyoming,71,89
10/31/22,Yates,26,40
10/28/22,Albany,1016,569
